연번	자치구 	시장명 	신주소(도로명 주소)	구주소(번지주소)	유형	형태	 건물연면적(㎡) 
312	마포구	신수동토정로 골목형상점가	서울 마포구 토정로 212	서울 마포구 신수동 380-3	골목형상점가	골목형	             11,088
313	마포구	신수시장	서울특별시 마포구 토정로17길 17	서울특별시 마포구 신수동 288-1	등록시장	건물형	               1,092
314	마포구	아현동손기정길골목형상점가	서울 마포구 손기정로1길 24	서울 마포구 아현동 693	골목형상점가	골목형	               1,787
315	마포구	아현시장	서울특별시 마포구 마포대로21길 70 일대	서울특별시 마포구 아현동 291-18	인정시장	골목형	             18,849
316	마포구	연남동골목형상점가	서울 마포구 동교로 268	서울 마포구 연남동 228-10	골목형상점가	골목형	             10,315
317	마포구	영진시장	서울특별시 마포구 동교로12길 21	서울특별시 마포구 서교동 485-14	등록시장	건물형	               3,761
318	마포구	용강동상점가	서울특별시 마포구 토정로 315 일대	서울특별시 마포구 용강동 40-5	상점가	상점가	             67,311
319	마포구	합정동먹자골목 골목형삼점가	서울 마포구 월드컵로1길 5	서울 마포구 합정동 383-3	골목형상점가	골목형	             23,845
320	마포구	합정시장	서울특별시 마포구 양화진길 5	서울특별시 마포구 합정동 375-1	등록시장	건물형	               5,433
321	마포구	합정하늘길 골목형상점가	서울 마포구 토정로3길 10	서울 마포구 합정동 367-34	골목형상점가	골목형	             23,179
322	마포구	홍대걷고싶은거리상점가	서울특별시 마포구 어울마당로 109~155 일대	서울특별시 마포구 동교동 163-11 ~ 170-5	상점가	상점가	               5,135
323	마포구	홍대레드로드골목형상점가	서울 마포구 잔다리로 8-3	서울 마포구 서교동 363-10	골목형상점가	골목형	               3,845
324	마포구	홍대소상공인상점가	서울특별시 마포구 홍익로3길 37	서울특별시 마포구 서교동 365-18	상점가	상점가	               4,019
소계	양천구	19	　	　	　	　	　
325	양천구	경창시장	서울시 양천구 오목로9길 31	서울시 양천구 신월동 447-8	인정시장	골목형	               2,320
326	양천구	목2동시장	서울시 양천구 목동중앙북로16길 3	서울시 양천구 목동 526	인정시장	골목형	               3,020
327	양천구	목3동 골목형상점가	서울 양천구 목동중앙북로 38	서울 양천구 목동 956	골목형상점가	상점가	                    -
328	양천구	목동깨비시장	서울시 양천구 목동중앙북로6길 5	서울시 양천구 목동 617-13	인정시장	골목형	               5,106
329	양천구	목동로데오골목형상점가	서울 양천구 목동로25길 19	서울 양천구 신정동 890-1	골목형상점가	상점가	               6,549
330	양천구	목사랑시장	서울시 양천구 목동중앙남로7길 8	서울시 양천구 목동 726-18	인정시장	골목형	               1,970
331	양천구	서서울골목형상점가	서울시 양천구 곰달래로13길 15	서울시 양천구 신월동 117-8	골목형상점가	상점가	               7,221
332	양천구	신곡시장 골목형상점가	서울 양천구 남부순환로79길 33-2	서울 양천구 신월동 575-15	골목형상점가	상점가	                    -
333	양천구	신곡종합시장	서울시 양천구 신월로16길 5	서울시 양천구 신월동 575-7	인정시장	건물형	               1,150
334	양천구	신영시장	서울시 양천구 월정로 161-5	서울시 양천구 신월동 114-18	인정시장	골목형	               4,520
335	양천구	신월3동시장골목형상점가	서울시 양천구 남부순환로40가길 1-1	서울시 양천구 신월동 178-1	골목형상점가	상점가	               7,228
336	양천구	신월4동 먹자골목 골목형상점가	서울 양천구 신월로15길 13	서울 양천구 신월동 538-2	골목형상점가	상점가	                    -
337	양천구	신월7동 골목형상점가	서울 양천구 지양로 75	서울 양천구 신월동 931-1	골목형상점가	상점가	                    -
338	양천구	신정1동골목시장	서울시 양천구 중앙로34길 28	서울시 양천구 신정동 1029-1	무등록시장	골목형	               1,560
339	양천구	신정제일시장	서울시 양천구 중앙로34길 30	서울시 양천구 신정동 1030-6	인정시장	건물형	               2,223
340	양천구	오목교중앙시장	서울시 양천구 신목로4길 45	서울시 양천구 신정동 126-5	인정시장	골목형	               1,560
341	양천구	오목내길골목형상점가	서울 양천구 신목로6길 41	서울 양천구 신정동 118-7	골목형상점가	골목형	               2,796
342	양천구	우성상가	서울시 양천구 지양로 78	서울시 양천구 신월동 928-1	인정시장	건물형	               5,035
343	양천구	월정로시장	서울시 양천구 월정로29길 3	서울시 양천구 신월동 114-1	무등록시장	골목형	               2,230
소계	강서구	17	　	　	　	　	　
344	강서구	가양역사거리 골목형상점가	서울 강서구 공항대로45길 15	서울 강서구 등촌동 726	골목형상점가	골목형	             34,989
345	강서구	강서구청먹자골목 골목형상점가	서울 강서구 화곡로 354-10	서울 강서구 화곡동 1110-3	골목형상점가	골목형	             48,272
