gu	dong_tokens	name	address	category	lat	lon	url
종로구		국립현대미술관 서울	서울특별시 종로구 삼청로 30	미술관/갤러리	37.5786280284849	126.980087994867	https://www.mmca.go.kr/visitingInfo/seoulInfo.do
종로구		종로문화원	서울특별시 종로구 율곡로 5	문화원	37.5761097079432	126.980378016466	http://jongno.kccf.or.kr
강서구		LG아트센터 서울	서울특별시 강서구 마곡중앙로 136 LG아트센터 서울	공연장	37.5653629860767	126.829388763217	https://www.lgart.com/home/ko/main
광진구		광진정보도서관	서울특별시 광진구 아차산로78길 90	도서관	37.5510729137918	127.110615495296	https://www.gwangjinlib.seoul.kr/gjinfo/index.do
마포구		포스트극장	서울특별시 마포구 와우산로 148	공연장	37.5541249044242	126.929648387272	https://changmuartcenter.com/
관악구		서울시립 남서울미술관	서울특별시 관악구 남부순환로 2076	미술관/갤러리	37.4760535374985	126.979465861688	https://sema.seoul.go.kr/kr/visit/namseoul
종로구		광화문아트홀	서울특별시 종로구 인왕산로1길 21	문화예술회관	37.5742098160357	126.964661018954	https://www.ijongno.co.kr/fmcs/41
금천구		문화정원아트홀	서울특별시 금천구 가산로 61 지하1층	공연장	37.4718013047734	126.896008983523	http://www.cgarthall.co.kr/xe/
종로구		극장동국	서울특별시 종로구 창경궁로 259	공연장	37.5845508578762	127.000034418091	https://www.facebook.com/PalyDongGuk
성북구		놀터예술공방	서울 성북구 성북로2길 21 엘리트리빙텔 지하1층	공연장	37.5895031357978	127.007028888864	없음
성동구	성동	성수아트홀	서울특별시 성동구 뚝섬로1길 43	문화예술회관	37.5454288300956	127.046948095951	https://www.sdfac.or.kr/kor/sdfac/sub/contents.do?gotoMenuNo=01020100
동대문구		서울풍물시장 전통문화체험관	서울특별시 동대문구 천호대로4길 21	기타	37.5727131853349	127.025502937291	http://www.pungmul.or.kr
종로구		한국사회과학도서관	서울특별시 종로구 인왕산로1길 25	도서관	37.5734632504819	126.96435708849	https://www.ekssl.or.kr/main/main/main.do
서초구		반포심산아트홀	서울특별시 서초구 사평대로 55	공연장	37.4988344628	126.9912424758	https://www.seochocf.or.kr/site/main/content/culture_space_simsan_arthall
용산구		보광극장	서울특별시 용산구 장문로19길 4	공연장	37.5261107778176	126.997818532998	https://bktheater.modoo.at/
구로구	구로동	신도림 오페라하우스	서울 구로구 구로동 3-33	공연장	37.50818811797741	126.89081137277203	https://www.guroartsvalley.or.kr/user/overall/overallArt8.do
동작구		서울특별시교육청 동작도서관	서울 동작구 장승배기로 94 서울특별시립 동작도서관	도서관	37.5059684516068	126.940102858481	http://djlib.sen.go.kr/
서초구		서초문화예술회관	서울 서초구 강남대로 201 서초문화예술회관	문화예술회관	37.4818278430879	127.035957179608	https://www.seocho.go.kr/site/seocho/05/10504010300002015070811.jsp
서대문구		서울특별시교육청 서대문도서관	서울 서대문구 모래내로 412 서대문도서관	도서관	37.5833186200007	126.940858017289	https://sdmlib.sen.go.kr/sdmlib/index.do?getContextPath=
강남구		민속극장풍류	서울 강남구 봉은사로 406 서울국가무형문화재전수교육관	공연장	37.5099100	127.044364	https://www.instagram.com/chfpungryu/
강남구		강남스포츠문화센터	서울특별시 강남구 밤고개로1길 52	기타	37.48915345909661	127.10522596740412	https://www.gncity.or.kr/gncity/main/contents.do?menuNo=200138
동작구		사당문화회관	서울특별시 동작구 사당로8길 9	기타	37.484714436886	126.969613923049	https://sports.idongjak.or.kr/home/59
광진구	능동	건국대학교 박물관	서울특별시 광진구 능동로 120	박물관/기념관	37.54240517067264	127.07559228463867	https://museum.konkuk.ac.kr/Museum/index.do
송파구		거마도서관	서울특별시 송파구 거마로2길 19	도서관	37.4935489790566	127.146822326781	https://www.splib.or.kr/spglib/index.do
용산구		서울특별시교육청 남산도서관	서울 용산구 소월로 109 남산도서관	도서관	37.5525564160959	126.982158117042	http://nslib.sen.go.kr/
성북구		최순우 옛집	서울특별시 성북구 성북로15길 9	박물관/기념관	37.5929768495688	127.000349881218	http://www.ntculture.or.kr/
양천구		서울문화예술교육센터 양천	서울특별시 양천구 남부순환로64길 2	기타	37.5282197824835	126.832145349117	https://www.sfac.or.kr/artspace/artspace/arteducation_main.do
강서구		스카이아트홀	서울특별시 강서구 화곡로63길 65	공연장	37.5579738421304	126.849189076142	http://skyarthall.co.kr/w/01.html
강서구		국립국어원 우리말 꿈터	서울특별시 강서구 금낭화로 154 국립국어원 1층	기타	37.579155054659	126.81383542564	https://www.korean.go.kr/front/page/pageView.do?page_id=P000461&mn_id=200
종로구		학고재	서울특별시 종로구 삼청로 50	미술관/갤러리	37.5804654638012	126.980316758246	http://hakgojae.com/
중구		남산골한옥마을	서울특별시 중구 퇴계로34길 28	기타	37.559304933707146	126.994440072131	http://www.hanokmaeul.or.kr
종로구		국립고궁박물관	서울 종로구 효자로 12 국립고궁박물관	박물관/기념관	37.5765916191985	126.974974825074	https://www.gogung.go.kr/gogung/main/main.do
종로구		떡박물관	서울 종로구 돈화문로 71 인산빌딩	박물관/기념관	37.5748995802783	126.990638129224	http://www.tkmuseum.or.kr/
강서구		허준박물관	서울특별시 강서구 허준로 87	박물관/기념관	37.5678724473689	126.851031243879	https://culture.gangseo.seoul.kr/gsfc/main/contents.do?menuNo=800119
중구	필동	2ND AVENUE GALLERY	서울특별시 중구 필동로8길 22	미술관/갤러리	37.555139463911	126.994911633545	http://www.gallery2ndave.com/gallery/about
강서구		강서문화원	서울특별시 강서구 가로공원로 195	문화원	37.537543087798	126.837642139084	http://www.kcc2000.or.kr
도봉구		도봉기적의도서관	서울 도봉구 마들로 797 도봉기적의도서관	도서관	37.6808029698392	127.050132749664	http://www.unilib.dobong.kr/contents.do?idx=65
은평구	통일로78가|불광동	은평구립도서관	서울특별시 은평구 통일로78가길 13-84(불광동)	도서관	37.6190451	126.9283998	http://www.eplib.or.kr/
구로구		구로아트밸리예술극장	서울특별시 구로구 가마산로25길 9	문화예술회관	37.4966251468796	126.890315032666	https://www.guroartsvalley.or.kr/user/overall/overallArt.do
강남구	개포동	서울특별시교육청 개포도서관	서울  강남구 개포동  선릉로4길 30	도서관	37.4829604	127.063769	http://gplib.sen.go.kr/
은평구		은평역사한옥박물관	서울 은평구 연서로50길 8	박물관/기념관	37.6404009547	126.9380554763	http://museum.ep.go.kr
종로구	필운동	더 소호	서울 종로구 필운대로 17 필운동연립주택	미술관/갤러리	37.5778764483968	126.969297162507	http://www.thesoho.co.kr/
도봉구		도봉문화원	서울 도봉구 도봉로 552 도봉구민회관	문화원	37.654199284867	127.038870491264	https://www.dobong.or.kr/main/index.php
중구		드라마센터	서울특별시 중구 소파로 138	공연장	37.5591300607013	126.988389426431	https://www.seoularts.ac.kr/web/content.do?proFn=9992321
영등포구		KBS홀	서울특별시 영등포구 여의공원로 13	공연장	37.5259698897016	126.916716838156	https://program.kbs.co.kr/online/office/hall/pc/index.html
강동구	강동	강동구립성내도서관	서울특별시 강동구 성안로 106-1	도서관	37.5328454696729	127.133342998226	https://www.gdlibrary.or.kr/web/menu/10006/program/30002/dataStatus.do?siteCd=snlib
