gu	dong_tokens	name	address	category	lat	lon	url
금천구	독산동	만수천공원(관악산)	서울특별시 금천구 독산동 산8 일대	공원	37.4734274	126.9090028	https://map.naver.com/p/search/%EB%A7%8C%EC%88%98%EC%B2%9C%EA%B3%B5%EC%9B%90%28%EA%B4%80%EC%95%85%EC%82%B0%29%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B8%88%EC%B2%9C%EA%B5%AC%20%EB%8F%85%EC%82%B0%EB%8F%99%20%EC%82%B08%20%EC%9D%BC%EB%8C%80
도봉구		발바닥공원	서울특별시 도봉구 시루봉로6길 33	공원	37.6597135	127.031982	https://map.naver.com/p/search/%EB%B0%9C%EB%B0%94%EB%8B%A5%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%84%EB%B4%89%EA%B5%AC%20%EC%8B%9C%EB%A3%A8%EB%B4%89%EB%A1%9C6%EA%B8%B8%2033
도봉구	창동	월천근린공원	서울특별시 도봉구 창동 28번지	공원	37.6473889	127.0509895	https://map.naver.com/p/search/%EC%9B%94%EC%B2%9C%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%84%EB%B4%89%EA%B5%AC%20%EC%B0%BD%EB%8F%99%2028%EB%B2%88%EC%A7%80
동대문구	용두동	용두근린공원	서울특별시 동대문구 용두동 34-1번지 일대	공원	37.5732791	127.0390042	https://map.naver.com/p/search/%EC%9A%A9%EB%91%90%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%99%EB%8C%80%EB%AC%B8%EA%B5%AC%20%EC%9A%A9%EB%91%90%EB%8F%99%2034-1%EB%B2%88%EC%A7%80%20%EC%9D%BC%EB%8C%80
마포구	상암동	상암근린공원	서울특별시 마포구 상암동 1761	공원	37.5760106	126.8859012	https://map.naver.com/p/search/%EC%83%81%EC%95%94%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EC%83%81%EC%95%94%EB%8F%99%201761
마포구	창전동	와우근린공원	서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산)	공원	37.5517298	126.9289936	https://map.naver.com/p/search/%EC%99%80%EC%9A%B0%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EC%B0%BD%EC%A0%84%EB%8F%99%203-193%EB%B2%88%EC%A7%80%20%EC%9D%BC%EB%8C%80%28%ED%99%8D%EC%9D%B5%EB%8C%80%20%EB%92%B7%EC%82%B0%29
성동구	성동	금호근린공원	서울특별시 성동구 장터1길 18	공원	37.5494726	127.0189457	https://map.naver.com/p/search/%EA%B8%88%ED%98%B8%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9E%A5%ED%84%B01%EA%B8%B8%2018
성동구	성동|옥수동	달맞이근린공원	서울특별시 성동구 옥수동 산1-1	공원	37.543564	127.0212054	https://map.naver.com/p/search/%EB%8B%AC%EB%A7%9E%EC%9D%B4%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%98%A5%EC%88%98%EB%8F%99%20%EC%82%B01-1
송파구	문정동	문정근린공원	서울특별시 송파구 문정동 18-4	공원	37.4862156	127.1275819	https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%86%A1%ED%8C%8C%EA%B5%AC%20%EB%AC%B8%EC%A0%95%EB%8F%99%2018-4
서초구	양재동	문화예술공원	서울특별시 서초구 바우뫼로12길 40 (양재동)	공원	37.467654	127.030517	https://map.naver.com/p/search/%EB%AC%B8%ED%99%94%EC%98%88%EC%88%A0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EB%B0%94%EC%9A%B0%EB%AB%BC%EB%A1%9C12%EA%B8%B8%2040%20%28%EC%96%91%EC%9E%AC%EB%8F%99%29
종로구		세종로공원	서울특별시 종로구 세종대로 189 (우) 03172	공원	37.5735	126.9758875	https://map.naver.com/p/search/%EC%84%B8%EC%A2%85%EB%A1%9C%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EC%84%B8%EC%A2%85%EB%8C%80%EB%A1%9C%20189%20%28%EC%9A%B0%29%2003172
관악구	대학동	샘말공원(관악산근린공원 샘말지구)	서울특별시 관악구 대학동 산63-1일대 샘말공원	공원	37.4642128	126.938511	https://map.naver.com/p/search/%EC%83%98%EB%A7%90%EA%B3%B5%EC%9B%90%28%EA%B4%80%EC%95%85%EC%82%B0%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%83%98%EB%A7%90%EC%A7%80%EA%B5%AC%29%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B4%80%EC%95%85%EA%B5%AC%20%EB%8C%80%ED%95%99%EB%8F%99%20%EC%82%B063-1%EC%9D%BC%EB%8C%80%20%EC%83%98%EB%A7%90%EA%B3%B5%EC%9B%90
도봉구	창동	초안산생태공원	서울특별시 도봉구 창동 산24	공원	37.6479483	127.0405382	https://map.naver.com/p/search/%EC%B4%88%EC%95%88%EC%82%B0%EC%83%9D%ED%83%9C%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%84%EB%B4%89%EA%B5%AC%20%EC%B0%BD%EB%8F%99%20%EC%82%B024
구로구	항동	푸른수목원	서울특별시 구로구 서해안로 2117(항동81-1) 푸른수목원관리사무소	공원	37.483029	126.82407	http://parks.seoul.go.kr/template/sub/pureun.do
은평구	구파발동|갈현동|진관내동	서오능도시자연공원	서울특별시 은평구 구파발동 갈현동 진관내동	공원	37.6374823	126.9134338	https://map.naver.com/p/search/%EC%84%9C%EC%98%A4%EB%8A%A5%EB%8F%84%EC%8B%9C%EC%9E%90%EC%97%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9D%80%ED%8F%89%EA%B5%AC%20%EA%B5%AC%ED%8C%8C%EB%B0%9C%EB%8F%99%20%EA%B0%88%ED%98%84%EB%8F%99%20%EC%A7%84%EA%B4%80%EB%82%B4%EB%8F%99
서초구	원지동	청계산도시자연공원	서울특별시 서초구 원지동 산 33	공원	37.4224347	127.0424726	https://map.naver.com/p/search/%EC%B2%AD%EA%B3%84%EC%82%B0%EB%8F%84%EC%8B%9C%EC%9E%90%EC%97%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9B%90%EC%A7%80%EB%8F%99%20%EC%82%B0%2033
강서구	개화동	개화근린공원	서울특별시 강서구 개화동 산17	공원	37.5813917	126.8068278	https://map.naver.com/p/search/%EA%B0%9C%ED%99%94%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EC%84%9C%EA%B5%AC%20%EA%B0%9C%ED%99%94%EB%8F%99%20%EC%82%B017
광진구	광장동	아차산공원	서울특별시 광진구 광장동 370	공원	37.5517142	127.1010031	https://map.naver.com/p/search/%EC%95%84%EC%B0%A8%EC%82%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B4%91%EC%A7%84%EA%B5%AC%20%EA%B4%91%EC%9E%A5%EB%8F%99%20370
서초구	내곡동	인능산도시자연공원	서울특별시 서초구 내곡동 산12-404	공원	37.4482109	127.0666632	https://map.naver.com/p/search/%EC%9D%B8%EB%8A%A5%EC%82%B0%EB%8F%84%EC%8B%9C%EC%9E%90%EC%97%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EB%82%B4%EA%B3%A1%EB%8F%99%20%EC%82%B012-404
서초구	염곡동	구룡산도시자연공원	서울특별시 서초구 염곡동 산25-1	공원	37.4689473	127.061567	https://map.naver.com/p/search/%EA%B5%AC%EB%A3%A1%EC%82%B0%EB%8F%84%EC%8B%9C%EC%9E%90%EC%97%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%97%BC%EA%B3%A1%EB%8F%99%20%EC%82%B025-1
서초구	우면동	우면산도시자연공원	서울특별시 서초구 우면동 산35-1	공원	37.470484	127.0091324	https://map.naver.com/p/search/%EC%9A%B0%EB%A9%B4%EC%82%B0%EB%8F%84%EC%8B%9C%EC%9E%90%EC%97%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9A%B0%EB%A9%B4%EB%8F%99%20%EC%82%B035-1
은평구	진관동	향림근린공원	서울특별시 은평구 진관동 산55	공원	37.6293824	126.9240693	https://map.naver.com/p/search/%ED%96%A5%EB%A6%BC%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9D%80%ED%8F%89%EA%B5%AC%20%EC%A7%84%EA%B4%80%EB%8F%99%20%EC%82%B055
은평구	신사동	신사근린공원	서울특별시 은평구 신사동 산80-4	공원	37.5920771	126.9102948	https://map.naver.com/p/search/%EC%8B%A0%EC%82%AC%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9D%80%ED%8F%89%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20%EC%82%B080-4
강남구	수서동	광평근린공원	서울특별시 강남구 수서동 산10-1	공원	37.4880445	127.092184	https://map.naver.com/p/search/%EA%B4%91%ED%8F%89%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%88%98%EC%84%9C%EB%8F%99%20%EC%82%B010-1
강남구	청담동	청담근린공원	서울특별시 강남구 청담동 66	공원	37.5213259	127.052453	https://map.naver.com/p/search/%EC%B2%AD%EB%8B%B4%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%B2%AD%EB%8B%B4%EB%8F%99%2066
강동구	강동|둔촌동	허브천문공원	서울특별시 강동구 둔촌동 산94	공원	37.5372715	127.1533951	https://map.naver.com/p/search/%ED%97%88%EB%B8%8C%EC%B2%9C%EB%AC%B8%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%8F%99%EA%B5%AC%20%EB%91%94%EC%B4%8C%EB%8F%99%20%EC%82%B094
은평구		GTX연신849광장(구 물빛공원)	서울특별시 은평구 통일로 849	공원	37.619052	126.9207354	https://map.naver.com/p/search/GTX%EC%97%B0%EC%8B%A0849%EA%B4%91%EC%9E%A5%28%EA%B5%AC%20%EB%AC%BC%EB%B9%9B%EA%B3%B5%EC%9B%90%29%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9D%80%ED%8F%89%EA%B5%AC%20%ED%86%B5%EC%9D%BC%EB%A1%9C%20849
종로구	숭인동	숭인근린공원	서울특별시 종로구 숭인동 58	공원	37.5764419	127.0178267	https://map.naver.com/p/search/%EC%88%AD%EC%9D%B8%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EC%88%AD%EC%9D%B8%EB%8F%99%2058
중랑구	면목동	서일대뒷산공원	서울특별시 중랑구 면목동 산19	공원	37.5877155	127.0987817	https://map.naver.com/p/search/%EC%84%9C%EC%9D%BC%EB%8C%80%EB%92%B7%EC%82%B0%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A4%91%EB%9E%91%EA%B5%AC%20%EB%A9%B4%EB%AA%A9%EB%8F%99%20%EC%82%B019
중랑구	면목7동	용마도시자연공원(사가정공원)	서울특별시 중랑구 면목7동 산50	공원	37.5797622	127.095997	https://map.naver.com/p/search/%EC%9A%A9%EB%A7%88%EB%8F%84%EC%8B%9C%EC%9E%90%EC%97%B0%EA%B3%B5%EC%9B%90%28%EC%82%AC%EA%B0%80%EC%A0%95%EA%B3%B5%EC%9B%90%29%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A4%91%EB%9E%91%EA%B5%AC%20%EB%A9%B4%EB%AA%A97%EB%8F%99%20%EC%82%B050
마포구		문화비축기지	서울특별시 마포구 증산로 87	공원	37.57171848	126.8932455	http://parks.seoul.go.kr/template/sub/culturetank.do
강남구	율현동	율현공원	서울특별시 강남구 밤고개로24길 91(율현동 56)	공원	37.472332	127.115594	https://map.naver.com/p/search/%EC%9C%A8%ED%98%84%EA%B3%B5%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%B0%A4%EA%B3%A0%EA%B0%9C%EB%A1%9C24%EA%B8%B8%2091%28%EC%9C%A8%ED%98%84%EB%8F%99%2056%29
중구		서울로7017	서울로7017	공원			https://parks.seoul.go.kr/template/sub/seoullo7017.do
강서구	마곡동	서울식물원	서울특별시 강서구 마곡동로 161 서울식물원	공원	37.569781	126.83483	https://botanicpark.seoul.go.kr/front/main.do
중구	의주로2가	서소문역사공원	서울특별시 중구 의주로2가 16-2	공원	37.560868	126.969742	https://parks.seoul.go.kr/parks/detailView.do?pIdx=1386
중구	순화동	순화문화공원	서울특별시 중구 순화동 216-2	공원	37.560215	126.97158400000001	https://parks.seoul.go.kr/parks/detailView.do?pIdx=1385
